game_name,drawing_date,number_drawn
Powerball,5/15/2013,26
Powerball,5/18/2013,22
Powerball,5/18/2013,10
Powerball,5/18/2013,13
Powerball,5/18/2013,14
Powerball,5/18/2013,52
Powerball,5/22/2013,31
Powerball,5/22/2013,35
Powerball,5/22/2013,41
Powerball,5/22/2013,9
Powerball,5/22/2013,57
Powerball,5/25/2013,27
Powerball,5/25/2013,21
Powerball,5/25/2013,19
Powerball,5/25/2013,6
Powerball,5/25/2013,2
Powerball,5/29/2013,49
Powerball,5/29/2013,14
Powerball,5/29/2013,9
Powerball,5/29/2013,17
Powerball,5/29/2013,57
Powerball,6/1/2013,33
Powerball,6/1/2013,53
Powerball,6/1/2013,59
Powerball,6/1/2013,22
Powerball,6/1/2013,28
Powerball,6/5/2013,4
Powerball,6/5/2013,36
Powerball,6/5/2013,26
Powerball,6/5/2013,33
Powerball,6/5/2013,55
Powerball,6/8/2013,2
Powerball,6/8/2013,26
Powerball,6/8/2013,11
Powerball,6/8/2013,32
Powerball,6/8/2013,22
Powerball,6/12/2013,22
Powerball,6/12/2013,16
Powerball,6/12/2013,42
Powerball,6/12/2013,23
Powerball,6/12/2013,55
Powerball,6/15/2013,48
Powerball,6/15/2013,55
Powerball,6/15/2013,28
Powerball,6/15/2013,40
Powerball,6/15/2013,36
Powerball,6/19/2013,57
Powerball,6/19/2013,47
Powerball,6/19/2013,46
Powerball,6/19/2013,52
Powerball,6/19/2013,7
Powerball,6/22/2013,33
Powerball,6/22/2013,57
Powerball,6/22/2013,19
Powerball,6/22/2013,23
Powerball,6/22/2013,13
Powerball,6/26/2013,1
Powerball,6/26/2013,46
Powerball,6/26/2013,39
Powerball,6/26/2013,33
Powerball,6/26/2013,18
Powerball,6/29/2013,28
Powerball,6/29/2013,8
Powerball,6/29/2013,56
Powerball,6/29/2013,53
Powerball,6/29/2013,30
Powerball,7/3/2013,40
Powerball,7/3/2013,6
Powerball,7/3/2013,51
Powerball,7/3/2013,29
Powerball,7/3/2013,3
Powerball,7/6/2013,52
Powerball,7/6/2013,2
Powerball,7/6/2013,36
Powerball,7/6/2013,35
Powerball,7/6/2013,13
Powerball,7/10/2013,55
Powerball,7/10/2013,45
Powerball,7/10/2013,31
Powerball,7/10/2013,30
Powerball,7/10/2013,59
Powerball,7/13/2013,8
Powerball,7/13/2013,37
Powerball,7/13/2013,2
Powerball,7/13/2013,35
Powerball,7/13/2013,22
Powerball,7/17/2013,22
Powerball,7/17/2013,1
Powerball,7/17/2013,42
Powerball,7/17/2013,38
Powerball,7/17/2013,34
Powerball,7/20/2013,14
Powerball,7/20/2013,27
Powerball,7/20/2013,58
Powerball,7/20/2013,25
Powerball,7/20/2013,38
Powerball,7/24/2013,44
Powerball,7/24/2013,29
Powerball,7/24/2013,54
Powerball,7/24/2013,40
Powerball,7/24/2013,9
Powerball,7/27/2013,58
Powerball,7/27/2013,53
Powerball,7/27/2013,40
Powerball,7/27/2013,23
Powerball,7/27/2013,9
Powerball,7/31/2013,8
Powerball,7/31/2013,24
Powerball,7/31/2013,59
Powerball,7/31/2013,39
Powerball,7/31/2013,49
Powerball,8/3/2013,24
Powerball,8/3/2013,36
Powerball,8/3/2013,21
Powerball,8/3/2013,45
Powerball,8/3/2013,42
Powerball,8/7/2013,58
Powerball,8/7/2013,5
Powerball,8/7/2013,25
Powerball,8/7/2013,59
Powerball,8/7/2013,30
Powerball,8/10/2013,37
Powerball,8/10/2013,58
Powerball,8/10/2013,14
Powerball,8/10/2013,4
Powerball,8/10/2013,12
Powerball,8/14/2013,17
Powerball,8/14/2013,43
Powerball,8/14/2013,11
Powerball,8/14/2013,4
