game_name,drawing_date,number_drawn
Mega Millions,1/4/2013,1
Mega Millions,1/8/2013,3
Mega Millions,1/8/2013,38
Mega Millions,1/8/2013,20
Mega Millions,1/8/2013,21
Mega Millions,1/8/2013,42
Mega Millions,1/11/2013,29
Mega Millions,1/11/2013,56
Mega Millions,1/11/2013,24
Mega Millions,1/11/2013,34
Mega Millions,1/11/2013,30
Mega Millions,1/15/2013,19
Mega Millions,1/15/2013,1
Mega Millions,1/15/2013,41
Mega Millions,1/15/2013,12
Mega Millions,1/15/2013,6
Mega Millions,1/18/2013,42
Mega Millions,1/18/2013,49
Mega Millions,1/18/2013,8
Mega Millions,1/18/2013,18
Mega Millions,1/18/2013,25
Mega Millions,1/22/2013,16
Mega Millions,1/22/2013,39
Mega Millions,1/22/2013,7
Mega Millions,1/22/2013,54
Mega Millions,1/22/2013,11
Mega Millions,1/25/2013,11
Mega Millions,1/25/2013,17
Mega Millions,1/25/2013,31
Mega Millions,1/25/2013,48
Mega Millions,1/25/2013,12
Mega Millions,1/29/2013,27
Mega Millions,1/29/2013,47
Mega Millions,1/29/2013,12
Mega Millions,1/29/2013,46
Mega Millions,1/29/2013,8
Mega Millions,2/1/2013,41
Mega Millions,2/1/2013,1
Mega Millions,2/1/2013,32
Mega Millions,2/1/2013,30
Mega Millions,2/1/2013,40
Mega Millions,2/5/2013,44
Mega Millions,2/5/2013,26
Mega Millions,2/5/2013,10
Mega Millions,2/5/2013,5
Mega Millions,2/5/2013,2
Mega Millions,2/8/2013,20
Mega Millions,2/8/2013,39
Mega Millions,2/8/2013,15
Mega Millions,2/8/2013,50
Mega Millions,2/8/2013,6
Mega Millions,2/12/2013,9
Mega Millions,2/12/2013,38
Mega Millions,2/12/2013,55
Mega Millions,2/12/2013,32
Mega Millions,2/12/2013,22
Mega Millions,2/15/2013,11
Mega Millions,2/15/2013,42
Mega Millions,2/15/2013,35
Mega Millions,2/15/2013,44
Mega Millions,2/15/2013,41
Mega Millions,2/19/2013,15
Mega Millions,2/19/2013,30
Mega Millions,2/19/2013,1
Mega Millions,2/19/2013,19
Mega Millions,2/19/2013,56
Mega Millions,2/22/2013,13
Mega Millions,2/22/2013,38
Mega Millions,2/22/2013,9
Mega Millions,2/22/2013,49
Mega Millions,2/22/2013,24
Mega Millions,2/26/2013,6
Mega Millions,2/26/2013,7
Mega Millions,2/26/2013,13
Mega Millions,2/26/2013,43
Mega Millions,2/26/2013,15
Mega Millions,3/1/2013,51
Mega Millions,3/1/2013,43
Mega Millions,3/1/2013,30
Mega Millions,3/1/2013,17
Mega Millions,3/1/2013,38
Mega Millions,3/5/2013,46
Mega Millions,3/5/2013,39
Mega Millions,3/5/2013,20
Mega Millions,3/5/2013,6
Mega Millions,3/5/2013,41
Mega Millions,3/8/2013,25
Mega Millions,3/8/2013,11
Mega Millions,3/8/2013,4
Mega Millions,3/8/2013,35
Mega Millions,3/8/2013,34
Mega Millions,3/12/2013,9
Mega Millions,3/12/2013,12
Mega Millions,3/12/2013,19
Mega Millions,3/12/2013,30
Mega Millions,3/12/2013,20
Mega Millions,3/15/2013,8
Mega Millions,3/15/2013,22
Mega Millions,3/15/2013,4
Mega Millions,3/15/2013,32
Mega Millions,3/15/2013,17
Mega Millions,3/19/2013,3
Mega Millions,3/19/2013,37
Mega Millions,3/19/2013,6
Mega Millions,3/19/2013,21
Mega Millions,3/19/2013,14
Mega Millions,3/22/2013,14
Mega Millions,3/22/2013,41
Mega Millions,3/22/2013,34
Mega Millions,3/22/2013,37
Mega Millions,3/22/2013,27
Mega Millions,3/26/2013,51
Mega Millions,3/26/2013,33
Mega Millions,3/26/2013,49
Mega Millions,3/26/2013,46
Mega Millions,3/26/2013,20
Mega Millions,3/29/2013,25
Mega Millions,3/29/2013,31
Mega Millions,3/29/2013,46
Mega Millions,3/29/2013,53
Mega Millions,3/29/2013,36
Mega Millions,4/2/2013,47
Mega Millions,4/2/2013,10
Mega Millions,4/2/2013,40
Mega Millions,4/2/2013,14
Mega Millions,4/2/2013,7
Mega Millions,4/5/2013,23
Mega Millions,4/5/2013,36
Mega Millions,4/5/2013,15
Mega Millions,4/5/2013,8
Mega Millions,4/5/2013,41
Mega Millions,4/9/2013,54
Mega Millions,4/9/2013,17
Mega Millions,4/9/2013,30
Mega Millions,4/9/2013,41
Mega Millions,4/9/2013,48
Mega Millions,4/12/2013,10
Mega Millions,4/12/2013,21
Mega Millions,4/12/2013,13
Mega Millions,4/12/2013,19
Mega Millions,4/12/2013,1
Mega Millions,4/16/2013,2
Mega Millions,4/16/2013,39
Mega Millions,4/16/2013,18
Mega Millions,4/16/2013,15
Mega Millions,4/16/2013,5
Mega Millions,4/19/2013,8
Mega Millions,4/19/2013,6
Mega Millions,4/19/2013,22
Mega Millions,4/19/2013,43
Mega Millions,4/19/2013,12
Mega Millions,4/23/2013,21
Mega Millions,4/23/2013,50
Mega Millions,4/23/2013,22
Mega Millions,4/23/2013,9
Mega Millions,4/23/2013,32
Mega Millions,4/26/2013,17
Mega Millions,4/26/2013,54
Mega Millions,4/26/2013,42
Mega Millions,4/26/2013,55
